class,category
Apple,1
Apple,1
Apple,1
Apple,1
Apple,1
Avocado,4
Banana,5
Kiwi,12
Lemon,14
Lime,15
Mango,16
Melon,17
Melon,17
Melon,17
Melon,17
Nectarine,20
Orange,24
Papaya,25
Passion-Fruit,26
Peach,27
Pear,28
Pear,28
Pear,28
Pineapple,30
Plum,31
Pomegranate,32
Red-Grapefruit,35
Satsumas,36
Juice,11
Juice,11
Juice,11
Juice,11
Juice,11
Juice,11
Juice,11
Juice,11
Juice,11
Juice,11
Milk,18
Milk,18
Milk,18
Milk,18
Milk,18
Milk,18
Oatghurt,22
Oat-Milk,21
Sour-Cream,37
Sour-Cream,37
Sour-Milk,38
Soyghurt,40
Soyghurt,40
Soy-Milk,39
Soy-Milk,39
Yoghurt,42
Yoghurt,42
Yoghurt,42
Yoghurt,42
Yoghurt,42
Yoghurt,42
Asparagus,2
Aubergine,3
Cabbage,6
Carrots,7
Cucumber,8
Garlic,9
Ginger,10
Leek,13
Mushroom,19
Onion,23
Pepper,29
Pepper,29
Pepper,29
Pepper,29
Potato,33
Potato,33
Potato,33
Red-Beet,34
Tomato,41
Tomato,41
Tomato,41
Zucchini,43
